gid,cnn_sgmt_pkey,street_name,street_type,full_street_name,street_layer,class_code,duel_car_way_yn,gis_length_miles,duel_car_way_id,corrected_length_miles,f_node_cnn_intrsctn_fkey,t_node_cnn_intrsctn_fkey,shape_length,sgmt_trnsprtn_pkey,daily_ride_qrt,daily_ride_eght,speed_avg_mta
11459,4349000,CONNECTICUT,ST,CONNECTICUT ST,STREETS,5,NO,0.176367481,0,0.176367521,23666000,33047000,360.0918743,3903,22294,6459,
11460,4350000,CONNECTICUT,ST,CONNECTICUT ST,STREETS,5,NO,0.196991695,0,0.196991711,28098000,23634000,401.4517177,3904,48402,16930,
11461,4351000,CONNECTICUT,ST,CONNECTICUT ST,STREETS,5,NO,0.078280236,0,0.07828024,23634000,23632000,159.8112209,3905,27253,15386,
11462,4352000,CONNECTICUT,ST,CONNECTICUT ST,STREETS,5,NO,0.099105586,0,0.099105605,23632000,23633000,202.3232737,3906,27297,11448,
11463,4353000,CONRAD,ST,CONRAD ST,STREETS,5,NO,0.072412632,0,0.072412636,21988000,21987000,147.8003991,3907,15549,6095,
11464,4354000,CONRAD,ST,CONRAD ST,STREETS,5,NO,0.032186596,0,0.032186597,21987000,21986000,65.69433455,3908,16129,4795,
11465,4355000,CONRAD,ST,CONRAD ST,STREETS,5,NO,0.02469728,0,0.024697298,21986000,21985000,50.36946442,3909,29800,4360,
11466,4356000,CONSERVATORY,DR,CONSERVATORY DR EAST,PARKS,5,NO,0.366069152,0,0.36606917,27185000,27192000,745.7395156,3910,37177,10587,
11467,4357000,CONSERVATORY,DR,CONSERVATORY DR WEST,PARKS,5,NO,0.203718804,0,0.203718818,27192000,27187000,414.846573,3911,27556,12239,
11468,4358000,CONSERVATORY ACCESS,RD,CONSERVATORY ACCESS RD,PARKS,5,NO,0.086822533,0,0.08682257,27190000,27190000,176.6963346,3912,15643,0,
11469,4359000,CONSERVATORY ACCESS,RD,CONSERVATORY ACCESS RD,PARKS,5,NO,0.097652984,0,0.097652973,32855000,27190000,199.2874877,3913,15028,0,
11470,4360000,CONSTANSO,WAY,CONSTANSO WAY,STREETS,5,NO,0.029088799,0,0.029088793,23248000,23336000,59.35245909,3914,2648,882,21
11471,4361000,CONSTANSO,WAY,CONSTANSO WAY,STREETS,5,NO,0.050170329,0,0.050170335,23336000,23335000,102.3180611,3915,2980,882,21
11472,4362000,CONVERSE,ST,CONVERSE ST,STREETS,5,NO,0.045214218,0,0.045214196,50015000,24200000,92.14087908,3916,35337,13502,
11473,4363000,COOK,ST,COOK ST,STREETS,5,NO,0.125642306,0,0.125642343,50512000,26924000,256.5876436,3917,70623,30361,
11474,4364000,COOK,ST,COOK ST,STREETS,5,NO,0.095016923,0,0.095016912,26924000,26482000,194.0400755,3918,62160,23111,
11475,4367000,COPPER,ALY,COPPER ALY,STREETS,5,NO,0.031406624,0,0.031406642,26126000,26127000,63.97869881,3919,19112,6399,
11476,4368000,COPPER,ALY,COPPER ALY,STREETS,5,NO,0.040466913,0,0.040466937,26127000,32940000,82.39526867,3920,20920,5883,
11477,4369000,CORA,ST,CORA ST,STREETS,5,NO,0.081311306,0,0.081311343,20355000,20348000,165.8387825,3921,52585,29694,
11478,4370000,CORA,ST,CORA ST,STREETS,5,NO,0.11778913,0,0.117789142,20348000,20353000,240.2141764,3922,55594,28725,
11479,4371000,CORAL,RD,CORAL RD,PRIVATE,0,NO,0.051328921,0,0.051328941,23698000,23700000,104.3732657,3923,48571,14277,
11480,4372000,CORAL,RD,CORAL RD,STREETS,5,NO,0.083016642,0,0.083016705,23700000,33049000,169.1710212,3924,50376,18302,
11481,4373000,CORALINO,LN,CORALINO LN,Streets_Pedestri,0,NO,0.049478928,0,0.049478928,22333000,22311000,100.8431087,26846,,,
11482,4374000,PORTOLA,DR,PORTOLA DR,STREETS,5,NO,0.028260547,0,0.028260578,32984000,32979000,57.61495778,3925,20298,7778,
11483,4375101,PORTOLA,DR,PORTOLA DR,STREETS,5,YES,0.0194911,387,0.009841791,32979000,32977000,39.6507392,3926,20298,8468,
11367,4375201,PORTOLA,DR,PORTOLA DR,STREETS,5,YES,0.019876113,387,0.009841791,32979000,32977000,40.43988043,3927,20298,8468,
11368,4376000,PORTOLA,DR,PORTOLA DR,STREETS,5,NO,0.024430905,0,0.02443092,32979000,32978000,49.86752606,3928,20298,9474,
11369,4377000,CORBETT,AVE,CORBETT AVE,STREETS,5,NO,0.044714438,0,0.044714472,26162000,26164000,91.06295195,3929,21219,5663,
11370,4378000,CORBETT,AVE,CORBETT AVE,STREETS,5,NO,0.051532672,0,0.051532636,26164000,26170000,104.8104301,3930,16748,6236,
11371,4379000,CORBETT,AVE,CORBETT AVE,STREETS,5,NO,0.102432231,0,0.102432236,26170000,32936000,208.3034799,3931,24882,10491,
11372,4380000,CORBETT,AVE,CORBETT AVE,STREETS,5,NO,0.069159892,0,0.069159906,32936000,26189000,140.7400987,3932,27839,10080,
11373,4381000,CORBETT,AVE,CORBETT AVE,STREETS,5,NO,0.060221349,0,0.060221362,26189000,26191000,122.8614145,3933,28370,10607,
11374,4382000,CORBETT,AVE,CORBETT AVE,STREETS,5,NO,0.110742416,0,0.110742411,26191000,32919000,225.5715775,3934,26459,17252,
11375,4383000,CORBETT,AVE,CORBETT AVE,STREETS,5,NO,0.056014788,0,0.056014815,32919000,26193000,114.3116986,3935,21261,12904,
11376,4384000,CORBETT,AVE,CORBETT AVE,STREETS,5,NO,0.123923567,0,0.123923574,26193000,26183000,252.5305892,3936,19686,11104,
11377,4385000,CORBETT,AVE,CORBETT AVE,STREETS,5,NO,0.087689328,0,0.087689352,26183000,26127000,178.6337796,3937,22046,9184,
11378,4386000,CORBETT,AVE,CORBETT AVE,STREETS,5,NO,0.055475849,0,0.055475824,26127000,26108000,113.239483,3938,21218,6399,
11379,4387000,CORBETT,AVE,CORBETT AVE,STREETS,5,NO,0.014284624,0,0.014284646,26108000,32943000,29.1508943,3939,16415,2573,
11380,4388000,CORBETT,AVE,CORBETT AVE,STREETS,5,NO,0.041752248,0,0.041752268,32943000,26107000,85.19540664,3940,18413,3471,
11381,4389000,CORBETT,AVE,CORBETT AVE,STREETS,5,NO,0.062415222,0,0.062415228,26107000,26104000,127.2157947,3941,17286,6195,
11382,4390000,CORBETT,AVE,CORBETT AVE,STREETS,5,NO,0.067224765,0,0.067224755,26104000,26122000,137.0702368,3942,18993,7095,
11383,4391000,CORBETT,AVE,CORBETT AVE,STREETS,5,NO,0.096988733,0,0.096988783,26122000,26117000,197.8583685,3943,20452,7486,
11384,4392000,CORBETT,AVE,CORBETT AVE,STREETS,5,NO,0.03182356,0,0.031823572,26117000,32975000,64.94139993,3944,19248,6779,24
11385,4393000,CORBETT,AVE,CORBETT AVE,STREETS,5,NO,0.037883579,0,0.03788356,32975000,26112000,77.30102072,3945,20355,6217,24
11386,4394000,CORBETT,AVE,CORBETT AVE,STREETS,5,NO,0.098813716,0,0.098813701,26112000,32984000,201.6288271,3946,23138,8133,24
11387,4396000,CORDELIA,ST,CORDELIA ST,STREETS,5,NO,0.05679977,0,0.056799756,25054000,50173000,116.0183303,3948,160130,60912,
11388,4397000,CORDOVA,ST,CORDOVA ST,STREETS,5,NO,0.083820343,0,0.083820374,21427000,21416000,170.9625856,3949,63167,26977,
11389,4398000,CORDOVA,ST,CORDOVA ST,STREETS,5,NO,0.049576304,0,0.04957627,21416000,21404000,101.1161414,3950,51209,11398,
11390,4399000,CORDOVA,ST,CORDOVA ST,STREETS,5,NO,0.049207736,0,0.049207754,21404000,21395000,100.3635004,3951,37746,5336,
