latitude,longitude,Severity,Hour,Lane
37.74366664,-122.4545265,0,13,Yes
37.73163662,-122.3917849,0,8,No
37.78070056,-122.395065,0,11,No
37.78328785,-122.4089522,0,18,Yes
37.78758627,-122.4034477,1,20,Yes
37.77458338,-122.4811129,0,21,No
37.780083,-122.4353825,0,7,No
37.78682753,-122.4199279,2,23,Yes
37.77973891,-122.4071595,0,12,No
37.77448987,-122.4189954,0,17,No
37.75456328,-122.406496,1,21,No
37.77542835,-122.4106107,1,0,Yes
37.77835734,-122.4491327,1,9,Yes
37.79191257,-122.4024647,2,3,No
37.75745285,-122.4211701,0,16,Yes
37.73174709,-122.471901,1,8,No
37.76637407,-122.452947,2,13,No
37.77893775,-122.4368846,1,2,No
37.77049588,-122.4798954,0,21,Yes
37.77313349,-122.4374229,1,20,No
37.76613006,-122.4767679,0,13,No
37.80634563,-122.4360214,0,20,No
37.74829829,-122.4114841,1,23,Yes
37.77998253,-122.4825766,0,16,Yes
37.78633862,-122.3977045,0,13,No
37.77639989,-122.4823184,0,21,Yes
37.77021017,-122.445345,1,2,No
37.76084957,-122.4100318,0,19,No
37.78922561,-122.408595,1,23,Yes
37.74219755,-122.4220838,1,21,No
37.79582371,-122.4082532,0,7,No
37.77250282,-122.4226197,1,19,Yes
37.7843101,-122.439752,0,8,Yes
37.72883241,-122.373494,0,17,No
37.77117368,-122.4302608,0,20,No
37.76824602,-122.4533523,1,10,No
37.79508971,-122.3937262,1,23,Yes
37.78328785,-122.4089522,1,8,Yes
37.7785051,-122.4056153,0,16,Yes
37.78328785,-122.4089522,1,8,Yes
37.78869905,-122.4203069,0,17,Yes
37.75439579,-122.4044844,1,14,Yes
37.77988311,-122.3896181,0,7,Yes
37.7698677,-122.4223648,1,17,No
37.74403763,-122.4208937,0,22,No
37.79172574,-122.3981961,0,17,Yes
37.77499175,-122.4131611,0,11,No
37.78709724,-122.3877949,1,15,No
37.78910265,-122.4019975,1,16,No
37.79759139,-122.4089068,1,16,Yes
37.77241687,-122.4195284,0,16,Yes
37.76256412,-122.4338427,0,21,Yes
37.77616198,-122.4054761,0,19,No
37.73628014,-122.3916336,1,10,No
37.75510576,-122.4242898,1,21,Yes
37.80811075,-122.4090505,1,14,No
37.77252627,-122.4069683,0,10,Yes
37.78265539,-122.4308847,1,17,Yes
37.78336805,-122.4170692,1,13,No
37.78824605,-122.4387668,1,8,No
37.78328785,-122.4089522,1,14,Yes
37.73639604,-122.5062329,1,15,No
37.74386266,-122.4372469,0,13,No
37.80503822,-122.4483281,2,11,No
37.78512177,-122.419579,1,17,Yes
37.77961134,-122.4240337,1,9,Yes
37.78954945,-122.4086613,2,20,No
37.77009808,-122.4537262,1,17,No
37.70923573,-122.4168188,0,10,No
37.77299541,-122.4459024,0,14,No
37.7876636,-122.413354,0,17,No
37.77188564,-122.4233968,0,9,Yes
37.76165231,-122.3905734,1,9,No
37.7785051,-122.4056153,1,9,Yes
37.76274697,-122.4349058,1,9,Yes
37.79261339,-122.3970355,1,16,Yes
37.7211987,-122.4374587,0,21,No
37.76329977,-122.4217315,1,2,Yes
