cnn_sgmt_pkey,f_node_cnn_intrsctn_fkey,t_node_cnn_intrsctn_fkey,cyc_ntwrk_yn,speed_limit,pk_metered_cnt,pk_on_st_cnt,oneway_yn,daily_ride_qrt,facility_type,surface_type,sharrow,Cluster_x,Cluster_y,Score_y2,Scale_Score_y2
8160000,20288000,20284000,NO,25.0,0.0,0.0,NO,37081.0,missing,missing,missing,0.0,5.0,0.00017493914641841766,58.54399110648316
8161000,20284000,20281000,NO,25.0,0.0,0.0,NO,37081.0,missing,missing,missing,5.0,0.0,0.0002394973697055588,61.35019318074444
5872000,24697000,24799000,YES,25.0,23.0,21.0,NO,54450.0,BIKE LANE,missing,NO,0.0,0.0,7.165825705584046e-05,50.57014515677733
8162000,20281000,20273000,NO,25.0,0.0,0.0,NO,25269.0,missing,missing,missing,0.0,1.0,0.00016763837417674605,58.16314386364489
8163000,20273000,20272000,NO,25.0,0.0,0.0,NO,8632.0,missing,missing,missing,1.0,1.0,0.0004761763090291913,67.49003500090694
8164000,20272000,20267000,NO,25.0,0.0,0.0,NO,392.0,missing,missing,missing,1.0,5.0,0.014356791747067776,97.92088044687173
8165000,20267000,50834000,NO,25.0,0.0,0.0,NO,309.0,missing,missing,missing,5.0,1.0,0.016707419858986185,99.27553850811553
5382000,25626000,25608000,NO,15.0,0.0,0.0,NO,18632.0,missing,missing,missing,2.0,4.0,0.0003834834103068123,65.55590075163228
5383000,25608000,25605000,NO,15.0,0.0,0.0,NO,18999.0,missing,missing,missing,4.0,6.0,0.0016068127296837177,78.35572058427567
5384000,25605000,25604000,NO,15.0,0.0,41.0,NO,19623.0,missing,missing,missing,6.0,5.0,0.0003275720677775216,64.14800977521844
8166000,20514000,20513000,NO,25.0,0.0,0.0,NO,55313.0,missing,missing,missing,0.0,3.0,0.0001603528548258489,57.7661856028042
8167000,21548000,21556000,NO,25.0,0.0,0.0,NO,24169.0,missing,missing,missing,6.0,6.0,0.000198160063646118,59.657495297080004
8168000,21556000,21577000,NO,25.0,0.0,0.0,NO,26240.0,missing,missing,missing,6.0,6.0,0.000198160063646118,59.657495297080004
8169000,33544000,26923000,NO,25.0,0.0,0.0,NO,10456.0,missing,missing,missing,5.0,4.0,0.0004578318880689731,67.13905344969926
8170000,26923000,26922000,NO,25.0,0.0,0.0,NO,25598.0,missing,missing,missing,4.0,0.0,0.00018796485783044193,59.185601534805954
8171000,26922000,26921000,NO,25.0,0.0,0.0,NO,39803.0,missing,missing,missing,0.0,2.0,0.00017920253595693614,58.759107777048854
8172000,26921000,26918000,NO,25.0,1.0,0.0,NO,45224.0,missing,missing,missing,2.0,5.0,7.944828351819883e-05,51.492113430370125
